COU,Country,MEAS,Measure,SMALL_SUBNATIONAL_REGION,Small subnational region,VAR,Variable,YEA,Year,Unit Code,Unit,Value
NAM,Namibia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,28.4013
NRU,Nauru,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,8.655536028
NRU,Nauru,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,0
NPL,Nepal,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,11.65326133
NPL,Nepal,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,48.38726757
NCL,New Caledonia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,0
NCL,New Caledonia,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,0
NIC,Nicaragua,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,34.3422
NIC,Nicaragua,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,14.72258662
NGA,Nigeria,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,1480.1625
NGA,Nigeria,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,79.32739097
NIU,Niue,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,0
NIU,Niue,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,0
NIU,Niue,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,0
PSE,Palestinian Authority or West Bank and Gaza Strip,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,58.4622
PSE,Palestinian Authority or West Bank and Gaza Strip,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,70.8678
PSE,Palestinian Authority or West Bank and Gaza Strip,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,32.0716523
OMN,Oman,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,54.1764
OMN,Oman,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,42.34880343
OMN,Oman,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,73.03208706
PAK,Pakistan,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,1008.4923
